,yields
0,0.00011646552619067956
1,3.2275538625847767e-06
2,1.0000000001407705
3,0.0006527517324432435
4,0.8601406249467735
5,1.0000000000001115
6,1.000000000002783
7,0.00024240758699487739
8,0.0010909909763447661
9,0.0030375440059960328
10,0.9999949262581337
11,0.20527244915224013
12,0.12254261100871952
13,1.0000000000002818
14,1.0000000005454954
15,0.8397342630016175
16,1.0000000000885598
17,0.02078291462564812
18,0.0005116785480274885
19,0.005523134570390806
20,1.990170148877112e-06
21,0.00047692372254851844
22,0.022862666983532967
23,0.0002460616678909157
24,0.9681348751713371
25,6.739514662308484e-06
26,0.019476185215037644
27,0.9999999999999978
28,1.0000000008356242
29,0.0001437075230152121
30,0.0003191638230913398
31,1.1897964696318581e-05
32,0.9999999999999978
33,0.9999999999999978
34,0.9999998478986165
35,0.5393714119044771
36,0.9999990828645968
37,5.4640902949475666e-05
38,0.00018455975688983983
39,0.025957919755059983
40,0.999999532199802
41,7.513473796861835e-06
42,0.9999999982810527
43,0.00017550453040354348
44,0.00010816670900631249
45,0.9999999799733792
46,0.9999831352555486
47,0.0028148508968987005
48,1.0000000000067621
49,0.11959761652198968
50,0.9999997368493506
51,0.9999942157904658
52,1.0000000000038347
53,0.9999108862068338
54,7.875698214204654e-06
55,3.7767791443383235e-05
56,0.0001196499962377333
57,0.005479161668674793
58,0.00023294457786761003
59,1.0000000001443232
60,8.110782482178996e-07
61,1.12238575314751e-05
62,0.017904795247056005
63,1.0000000000016747
64,0.0003820732257779383
65,0.02823391533100765
66,0.000324824863095987
67,0.7174356529196729
68,0.0005654441797201222
69,1.3801600300638061e-05
70,0.002464125093626496
71,1.601453261713305e-05
72,1.0000000019160473
73,0.005339768062463529
74,1.0000000000091493
75,0.0037318212528024124
76,0.7354223137539341
77,0.792181621603649
78,0.9999999999999408
79,0.01602183296835022
80,0.09559184443017546
81,0.8952616774068928
82,0.023647457405640677
83,0.9999997331219013
84,8.105433765034819e-06
85,0.594398644607866
86,1.0000000000001115
87,1.000000001145563
88,0.0009858986108747826
89,0.09674882872025563
90,0.9999548767834633
91,0.9997051829861138
92,1.087169383144718e-05
93,0.0003339573300250224
94,2.9572203316132624e-05
95,1.0000000000186424
96,4.003292972295869e-06
97,1.2310870824883299e-05
98,1.0000000000283058
99,0.9999998346401042
100,0.29400873669712807
101,0.0005479577895875172
102,2.6871676702363867e-05
103,0.5382391613732949
104,0.037877004165020815
105,4.624301796167364e-05
106,0.9999998342650515
107,0.4494567109901113
108,0.36454490178241805
109,0.0004883058358792822
110,1.000000000652475
111,0.9975851639156533
112,0.9976994782363182
113,0.00016341790661158302
114,0.9999999999416765
115,5.254745988487661e-06
116,1.0000000031227194
117,2.716220400453078e-05
118,8.799933519976165e-05
119,0.8793256141242949
120,2.1406426183820017e-05
121,0.9999999999994292
122,0.00010713773870087646
123,1.0000000006744447
124,0.9999829188442186
125,1.000000000000026
126,1.0000000013296224
127,1.0000000020763171
128,1.6920774503195237e-06
129,0.00011021763333693501
130,3.5165527441293182e-06
131,0.9675277930100394
132,0.0014981947863242165
133,1.0000000000501053
134,0.5699511449500975
135,0.014441208529619295
136,2.0010325524084667e-05
137,3.2423393955312475e-05
138,0.0014526737847316068
139,0.6376462266562584
140,0.9999999999999694
141,0.0031880379524169395
142,2.32166982510421e-05
143,2.2393682004730238e-07
144,0.9999997714606035
145,0.9862624863774728
146,0.9996897322656894
147,2.3779239392671604e-06
148,1.0000000013571912
149,6.594258471548423e-05
150,0.02442702368564998
151,9.082643564466618e-06
152,1.319421918203277e-05
153,0.9998899462159647
154,0.9986045074603278
155,0.00037275366044627316
156,5.465083210298762e-05
157,4.3190185829656814e-06
158,0.00038344907929198444
159,0.9081637795403422
160,2.717798626235808e-05
161,1.0000000000000546
162,0.00024511938180130343
163,0.010807264185754676
164,0.9999999999999694
165,0.0006566788906125556
166,1.0000000000488545
167,0.9160836319852631
168,0.9999914392466621
169,0.9999999999816375
170,0.0008642476930785123
171,1.0000000006050676
172,0.01838657063100378
173,0.9999999378950687
174,0.0015917383520291444
175,1.9455606046515018e-05
176,0.0003870464585869936
177,0.41579948354547286
178,1.0000000000078422
179,0.0007134973256678714
180,1.6937814257392846e-05
181,0.9999999999638451
182,6.19297415114047e-05
183,0.0007006999535353533
184,1.0000000012340116
185,8.97328753281142e-05
186,0.9954860726036254
187,0.00036550478946019535
188,0.9999984433085857
189,1.0000000000001115
190,6.124235541147781e-06
191,7.189036472629562e-06
192,0.9998623273187299
193,0.0001144998595951756
194,0.9999999999999978
195,1.0000000000003957
196,0.017656673361703137
197,1.5288718842668306e-05
198,0.9945509199803951
199,1.276675881255928e-05
200,0.8542302363108497
201,6.096604916929988e-06
202,0.9996534624526513
203,0.0008103980142471485
204,0.26258489722460854
205,0.0024307524117497085
206,0.9999999986656979
207,0.0004119707454632161
208,0.0002853878498379362
209,0.9999967144267239
210,1.1050791497693514e-06
211,0.0011496797252909005
212,0.00019348694217443044
213,1.0933016675632189e-06
214,1.7930725791554836e-05
215,0.00017977483008815075
216,0.0001947038598736933
217,0.9999999999999123
218,0.9999999000748999
219,1.00000000000176
220,0.023033843843624075
221,1.0000000053337579
222,1.000000000065112
223,1.0000000026595877
224,0.016473631397046298
225,1.0000000000000546
226,0.999901618027311
227,0.00429175709504918
228,0.9999999999976388
229,0.0001232731863740252
230,0.11771395403589795
231,1.0000000000003104
232,0.9901237993100892
233,3.1980396879423845e-06
234,0.9999999930939344
235,4.162189236672638e-05
236,0.9991204699196534
237,0.9998945126377579
238,0.9999994838202925
239,1.0000000008093628
240,1.0000000000046303
241,0.7651718631139516
242,8.221912348348825e-05
243,6.726950924831494e-06
244,1.0000000000000828
245,0.0007868976288650191
246,1.0000000000122478
247,1.1358699326492296e-06
248,0.9997823076922597
249,1.0000000000424598
250,0.00011238830968836533
251,0.0005194509303310781
252,2.4941612078947833e-05
253,0.005472291100742424
254,4.491690836071785e-05
255,1.000000005285043
256,0.00018921685654342535
257,0.8712755127815283
258,0.9999997669836737
259,0.49011879086289034
260,0.004556536086299084
261,0.9570562313069246
262,1.000000000018159
263,0.0007434717334582202
264,0.0001026085012693257
265,6.782433929824506e-05
266,0.9999999999971555
267,0.020938287479543197
268,0.9997837722540277
269,1.0000000000000828
270,0.9999999999999123
271,1.0000000000000546
272,6.604660924428894e-06
273,9.146522822417169e-05
274,9.22151708888096e-06
275,0.5280958355452153
276,0.0004964694239260304
277,6.503137858421921e-05
278,6.503508558090669e-05
279,6.551087961592002e-05
280,1.5708333915190294e-05
281,8.52648279940789e-05
282,0.9999999955450226
283,0.9881462102436745
284,0.07086531598036017
285,1.0000000000023
286,0.0028801653358615275
287,1.0000000000000546
288,1.0000000000001115
289,0.0003799051600950478
290,0.9999999997600616
291,4.487942207358542e-06
292,1.0000000058164438
293,1.0000000000015892
294,4.050134935330792e-05
295,0.9999972496319741
296,0.00017581539859327504
297,1.000000000000026
